Suburb,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Throsby,Supermarket,Business Service,Thai Restaurant,Soccer Field,Park,Fish & Chips Shop,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium
Torrens,Shopping Plaza,Café,Indian Restaurant,Convenience Store,Gas Station,Nature Preserve,Market,Malay Restaurant,Mountain,Ethiopian Restaurant
Turner,Café,Coffee Shop,Hotel,Italian Restaurant,Japanese Restaurant,Vietnamese Restaurant,Thai Restaurant,Chinese Restaurant,Burger Joint,Plaza
Wanniassa,Fast Food Restaurant,Supermarket,Italian Restaurant,Gas Station,Pool,Dessert Shop,Convenience Store,Sandwich Place,Noodle House,Shopping Mall
Waramanga,Café,Supermarket,Social Club,Thai Restaurant,Bakery,Grocery Store,Soccer Field,Discount Store,Nature Preserve,Sandwich Place
Watson,Supermarket,Farmers Market,Motel,Shopping Plaza,Golf Course,Market,Fish & Chips Shop,Filipino Restaurant,Grocery Store,Fast Food Restaurant
Weetangera,Café,Supermarket,Fast Food Restaurant,Burger Joint,Vietnamese Restaurant,Dessert Shop,Bus Station,Department Store,Liquor Store,Bakery
Weston,Café,Thai Restaurant,Social Club,Animal Shelter,Grocery Store,Lighting Store,Mexican Restaurant,Newsstand,Fast Food Restaurant,Indian Restaurant
Wright,Animal Shelter,Trail,Pharmacy,Coffee Shop,Fruit & Vegetable Store,Fried Chicken Joint,French Restaurant,Fountain,Football Stadium,Food Court
Yarralumla,Café,Pizza Place,Park,Supermarket,Grocery Store,Restaurant,Fish & Chips Shop,Sports Club,Garden Center,Gas Station
